lambda_human,generation,entropy
0.0,0,6.153980
0.0,1,6.075350
0.0,2,6.026384
0.0,3,6.022386
0.0,4,5.966918
0.0,5,5.973195
0.0,6,5.901353
0.0,7,5.908469
0.0,8,5.878590
0.0,9,5.871979
0.0,10,5.807938
0.0,11,5.798756
0.0,12,5.811062
0.0,13,5.765646
0.0,14,5.769614
0.0,15,5.799934
0.0,16,5.769514
0.0,17,5.716989
0.0,18,5.700868
0.0,19,5.678708
0.0,20,5.729926
0.0,21,5.676201
0.0,22,5.651124
0.0,23,5.634617
0.0,24,5.606037
0.0,25,5.551695
0.0,26,5.510880
0.0,27,5.492528
0.0,28,5.459316
0.0,29,5.452085
0.0,30,5.449344
0.0,31,5.492883
0.0,32,5.505182
0.0,33,5.473446
0.0,34,5.447800
0.0,35,5.396173
0.0,36,5.331043
0.0,37,5.301336
0.0,38,5.246906
0.0,39,5.227034
0.0,40,5.230421
0.0,41,5.212369
0.0,42,5.225431
0.0,43,5.234739
0.0,44,5.245622
0.0,45,5.242157
0.0,46,5.230105
0.0,47,5.231174
0.0,48,5.211168
0.0,49,5.199160
0.0,50,5.184323
0.0,51,5.140856
0.0,52,5.132244
0.0,53,5.111123
0.0,54,5.061565
0.0,55,5.089846
0.0,56,5.090448
0.0,57,5.084054
0.0,58,5.063344
0.0,59,5.056445
0.0,60,5.015117
0.0,61,5.013504
0.0,62,5.023379
0.0,63,4.978814
0.0,64,4.954145
0.0,65,4.959300
0.0,66,4.909865
0.0,67,4.847189
0.0,68,4.860730
0.0,69,4.866661
0.0,70,4.828737
0.0,71,4.811708
0.0,72,4.779273
0.0,73,4.768080
0.0,74,4.783989
0.0,75,4.795320
0.0,76,4.799014
0.0,77,4.792515
0.0,78,4.760849
0.0,79,4.712381
0.01,0,6.157237
0.01,1,6.084435
0.01,2,6.044144
0.01,3,6.043130
0.01,4,5.999984
0.01,5,6.005243
0.01,6,5.944579
0.01,7,5.962882
0.01,8,5.931593
0.01,9,5.919032
0.01,10,5.850856
0.01,11,5.844025
0.01,12,5.859931
0.01,13,5.811004
0.01,14,5.809237
0.01,15,5.847047
0.01,16,5.831548
0.01,17,5.786837
0.01,18,5.781809
0.01,19,5.771120
0.01,20,5.837088
0.01,21,5.787480
0.01,22,5.751634
0.01,23,5.752009
0.01,24,5.739039
0.01,25,5.692426
0.01,26,5.657713
0.01,27,5.659551
0.01,28,5.619366
0.01,29,5.616977
0.01,30,5.629095
0.01,31,5.699791
0.01,32,5.713961
0.01,33,5.681747
0.01,34,5.669283
0.01,35,5.606469
0.01,36,5.525039
0.01,37,5.508600
0.01,38,5.470484
0.01,39,5.443061
0.01,40,5.472396
0.01,41,5.463451
0.01,42,5.480964
0.01,43,5.486715
0.01,44,5.508848
0.01,45,5.511504
0.01,46,5.508416
0.01,47,5.521884
0.01,48,5.497652
0.01,49,5.486592
0.01,50,5.485239
0.01,51,5.436691
0.01,52,5.434680
0.01,53,5.424991
0.01,54,5.400097
0.01,55,5.448185
0.01,56,5.430016
0.01,57,5.439780
0.01,58,5.444084
0.01,59,5.445262
0.01,60,5.369869
0.01,61,5.372240
0.01,62,5.401006
0.01,63,5.366741
0.01,64,5.335090
0.01,65,5.355575
0.01,66,5.286026
0.01,67,5.217632
0.01,68,5.250182
0.01,69,5.286472
0.01,70,5.250892
0.01,71,5.239940
0.01,72,5.201454
0.01,73,5.215321
0.01,74,5.237339
0.01,75,5.298052
0.01,76,5.288808
0.01,77,5.288278
0.01,78,5.250029
0.01,79,5.218462
0.05,0,6.167709
0.05,1,6.106765
0.05,2,6.073895
0.05,3,6.092558
0.05,4,6.058072
0.05,5,6.071059
0.05,6,6.024629
0.05,7,6.064782
0.05,8,6.054080
0.05,9,6.047896
0.05,10,5.985527
0.05,11,6.015234
0.05,12,6.053737
0.05,13,6.024737
0.05,14,6.033047
0.05,15,6.073052
0.05,16,6.040609
0.05,17,5.991662
0.05,18,6.002355
0.05,19,6.016224
0.05,20,6.098222
0.05,21,6.065306
0.05,22,6.039991
0.05,23,6.024081
0.05,24,6.016232
0.05,25,5.971168
0.05,26,5.921895
0.05,27,5.896686
0.05,28,5.880715
0.05,29,5.871074
0.05,30,5.896199
0.05,31,5.992158
