p,generation,benevolent_fraction
0.001,0,1.000000
0.001,1,1.000000
0.001,2,1.000000
0.001,3,1.000000
0.001,4,1.000000
0.001,5,1.000000
0.001,6,1.000000
0.001,7,1.000000
0.001,8,1.000000
0.001,9,1.000000
0.001,10,1.000000
0.001,11,0.990099
0.001,12,1.000000
0.001,13,1.000000
0.001,14,1.000000
0.001,15,1.000000
0.001,16,1.000000
0.001,17,1.000000
0.001,18,0.990099
0.001,19,1.000000
0.001,20,1.000000
0.001,21,1.000000
0.001,22,1.000000
0.001,23,1.000000
0.001,24,1.000000
0.001,25,1.000000
0.001,26,1.000000
0.001,27,1.000000
0.001,28,0.990099
0.001,29,1.000000
0.001,30,1.000000
0.001,31,0.990099
0.001,32,1.000000
0.001,33,1.000000
0.001,34,0.990099
0.001,35,0.990099
0.001,36,1.000000
0.001,37,1.000000
0.001,38,1.000000
0.001,39,1.000000
0.001,40,1.000000
0.001,41,1.000000
0.001,42,1.000000
0.001,43,1.000000
0.001,44,1.000000
0.001,45,1.000000
0.001,46,0.990099
0.001,47,1.000000
0.001,48,1.000000
0.001,49,1.000000
0.001,50,1.000000
0.001,51,1.000000
0.001,52,1.000000
0.001,53,1.000000
0.001,54,0.990099
0.001,55,1.000000
0.001,56,1.000000
0.001,57,1.000000
0.001,58,1.000000
0.001,59,1.000000
0.001,60,1.000000
0.001,61,0.990099
0.001,62,1.000000
0.001,63,1.000000
0.001,64,1.000000
0.001,65,1.000000
0.001,66,1.000000
0.001,67,1.000000
0.001,68,1.000000
0.001,69,1.000000
0.001,70,0.990099
0.001,71,1.000000
0.001,72,1.000000
0.001,73,1.000000
0.001,74,1.000000
0.001,75,1.000000
0.001,76,1.000000
0.001,77,1.000000
0.001,78,1.000000
0.001,79,1.000000
0.001,80,1.000000
0.001,81,1.000000
0.001,82,1.000000
0.001,83,1.000000
0.001,84,1.000000
0.001,85,1.000000
0.001,86,1.000000
0.001,87,1.000000
0.001,88,1.000000
0.001,89,1.000000
0.001,90,1.000000
0.001,91,1.000000
0.001,92,1.000000
0.001,93,1.000000
0.001,94,1.000000
0.001,95,1.000000
0.001,96,1.000000
0.001,97,1.000000
0.001,98,0.990099
0.001,99,1.000000
0.01,0,0.990099
0.01,1,1.000000
0.01,2,1.000000
0.01,3,1.000000
0.01,4,0.990099
0.01,5,0.990099
0.01,6,0.990099
0.01,7,0.961538
0.01,8,0.990099
0.01,9,0.990099
0.01,10,1.000000
0.01,11,0.980392
0.01,12,0.990099
0.01,13,0.980392
0.01,14,1.000000
0.01,15,1.000000
0.01,16,0.990099
0.01,17,1.000000
0.01,18,0.990099
0.01,19,1.000000
0.01,20,1.000000
0.01,21,1.000000
0.01,22,0.990099
0.01,23,0.990099
0.01,24,1.000000
0.01,25,0.990099
0.01,26,1.000000
0.01,27,0.990099
0.01,28,0.990099
0.01,29,0.990099
0.01,30,0.990099
0.01,31,0.980392
