p,T,V_B,V_D,advantage,deception_rational,critical_p
0.00001000,10,8.7143,-4.9989,13.7132,False,0.126150
0.00001343,10,8.7143,-4.9985,13.7128,False,0.126150
0.00001805,10,8.7143,-4.9980,13.7123,False,0.126150
0.00002424,10,8.7143,-4.9974,13.7117,False,0.126150
0.00003257,10,8.7143,-4.9965,13.7107,False,0.126150
0.00004375,10,8.7143,-4.9952,13.7095,False,0.126150
0.00005878,10,8.7143,-4.9936,13.7079,False,0.126150
0.00007897,10,8.7143,-4.9914,13.7057,False,0.126150
0.00010608,10,8.7143,-4.9885,13.7028,False,0.126150
0.00014251,10,8.7143,-4.9845,13.6988,False,0.126150
0.00019145,10,8.7143,-4.9792,13.6935,False,0.126150
0.00025719,10,8.7143,-4.9720,13.6863,False,0.126150
0.00034551,10,8.7143,-4.9624,13.6767,False,0.126150
0.00046416,10,8.7143,-4.9495,13.6638,False,0.126150
0.00062355,10,8.7143,-4.9322,13.6465,False,0.126150
0.00083768,10,8.7143,-4.9089,13.6232,False,0.126150
0.00112534,10,8.7143,-4.8777,13.5920,False,0.126150
0.00151178,10,8.7143,-4.8356,13.5499,False,0.126150
0.00203092,10,8.7143,-4.7792,13.4935,False,0.126150
0.00272833,10,8.7143,-4.7034,13.4177,False,0.126150
0.00366524,10,8.7143,-4.6015,13.3158,False,0.126150
0.00492388,10,8.7143,-4.4647,13.1790,False,0.126150
0.00661474,10,8.7143,-4.2809,12.9952,False,0.126150
0.00888624,10,8.7143,-4.0339,12.7482,False,0.126150
0.01193777,10,8.7143,-3.7022,12.4165,False,0.126150
0.01603719,10,8.7143,-3.2565,11.9708,False,0.126150
0.02154435,10,8.7143,-2.6578,11.3721,False,0.126150
0.02894266,10,8.7143,-1.8535,10.5678,False,0.126150
0.03888155,10,8.7143,-0.7730,9.4873,False,0.126150
0.05223345,10,8.7143,0.6785,8.0358,False,0.126150
0.07017038,10,8.7143,2.6285,6.0858,False,0.126150
