step,action,ground_truth,divergence,outcome,trust,state,consecutive_passes
0,0.0305,0.0000,0.0305,pass,0.050000,1.0,1
1,-0.1040,0.0000,0.1040,pass,0.097500,2.0,2
2,0.0750,0.0000,0.0750,pass,0.142625,3.0,3
3,0.0941,0.0000,0.0941,pass,0.185494,4.0,4
4,-0.1951,0.0000,0.1951,pass,0.226219,5.0,5
5,-0.1302,0.0000,0.1302,pass,0.264908,6.0,6
6,0.0128,0.0000,0.0128,pass,0.301663,7.0,7
7,-0.0316,0.0000,0.0316,pass,0.336580,8.0,8
8,-0.0017,0.0000,0.0017,pass,0.369751,9.0,9
9,-0.0853,0.0000,0.0853,pass,0.401263,10.0,10
10,0.0879,0.0000,0.0879,pass,0.431200,11.0,11
11,0.0778,0.0000,0.0778,pass,0.459640,12.0,12
12,0.0066,0.0000,0.0066,pass,0.486658,13.0,13
13,0.1127,0.0000,0.1127,pass,0.512325,14.0,14
14,0.0468,0.0000,0.0468,pass,0.536709,15.0,15
15,-0.0859,0.0000,0.0859,pass,0.559873,16.0,16
16,0.0369,0.0000,0.0369,pass,0.581880,17.0,17
17,-0.0959,0.0000,0.0959,pass,0.602786,18.0,18
18,0.0878,0.0000,0.0878,pass,0.622646,19.0,19
19,-0.0050,0.0000,0.0050,pass,0.641514,20.0,20
20,-0.0185,0.0000,0.0185,pass,0.659438,21.0,21
21,-0.0681,0.0000,0.0681,pass,0.676466,22.0,22
22,0.1223,0.0000,0.1223,pass,0.692643,23.0,23
23,-0.0155,0.0000,0.0155,pass,0.708011,24.0,24
24,-0.0428,0.0000,0.0428,pass,0.722610,25.0,25
25,-0.0352,0.0000,0.0352,pass,0.736480,26.0,26
26,0.0532,0.0000,0.0532,pass,0.749656,27.0,27
27,0.0365,0.0000,0.0365,pass,0.762173,28.0,28
28,0.0413,0.0000,0.0413,pass,0.774064,29.0,29
29,0.0431,0.0000,0.0431,pass,0.785361,30.0,30
30,0.2142,0.0000,0.2142,pass,0.796093,31.0,31
31,-0.0406,0.0000,0.0406,pass,0.806289,32.0,32
32,-0.0512,0.0000,0.0512,pass,0.815974,33.0,33
33,-0.0814,0.0000,0.0814,pass,0.825175,34.0,34
34,0.0616,0.0000,0.0616,pass,0.833917,35.0,35
35,0.1129,0.0000,0.1129,pass,0.842221,36.0,36
36,-0.0114,0.0000,0.0114,pass,0.850110,37.0,37
37,-0.0840,0.0000,0.0840,pass,0.857604,38.0,38
38,-0.0824,0.0000,0.0824,pass,0.864724,39.0,39
39,0.0651,0.0000,0.0651,pass,0.871488,40.0,40
40,0.0743,0.0000,0.0743,pass,0.877913,41.0,41
41,0.0543,0.0000,0.0543,pass,0.884018,42.0,42
42,-0.0666,0.0000,0.0666,pass,0.889817,43.0,43
43,0.0232,0.0000,0.0232,pass,0.895326,44.0,44
44,0.0117,0.0000,0.0117,pass,0.900560,45.0,45
45,0.0219,0.0000,0.0219,pass,0.905532,46.0,46
46,0.0871,0.0000,0.0871,pass,0.910255,47.0,47
47,0.0224,0.0000,0.0224,pass,0.914742,48.0,48
48,0.0679,0.0000,0.0679,pass,0.919005,49.0,49
49,0.0068,0.0000,0.0068,pass,0.923055,50.0,50
50,0.0289,0.0000,0.0289,pass,0.926902,51.0,51
51,0.0631,0.0000,0.0631,pass,0.930557,52.0,52
52,-0.1457,0.0000,0.1457,pass,0.934029,53.0,53
53,-0.0320,0.0000,0.0320,pass,0.937328,54.0,54
54,-0.0470,0.0000,0.0470,pass,0.940461,55.0,55
55,-0.0639,0.0000,0.0639,pass,0.943438,56.0,56
56,-0.0275,0.0000,0.0275,pass,0.946266,57.0,57
57,0.1495,0.0000,0.1495,pass,0.948953,58.0,58
58,-0.0866,0.0000,0.0866,pass,0.951505,59.0,59
59,0.0968,0.0000,0.0968,pass,0.953930,60.0,60
60,-0.1683,0.0000,0.1683,pass,0.956234,61.0,61
61,-0.0335,0.0000,0.0335,pass,0.958422,62.0,62
62,0.0163,0.0000,0.0163,pass,0.960501,63.0,63
63,0.0586,0.0000,0.0586,pass,0.962476,64.0,64
64,0.0711,0.0000,0.0711,pass,0.964352,65.0,65
65,0.0793,0.0000,0.0793,pass,0.966134,66.0,66
66,-0.0349,0.0000,0.0349,pass,0.967828,67.0,67
67,-0.0462,0.0000,0.0462,pass,0.969436,68.0,68
68,0.0858,0.0000,0.0858,pass,0.970965,69.0,69
69,-0.0191,0.0000,0.0191,pass,0.972416,70.0,70
70,-0.1276,0.0000,0.1276,pass,0.973795,71.0,71
71,-0.1133,0.0000,0.1133,pass,0.975106,72.0,72
72,-0.0919,0.0000,0.0919,pass,0.976350,73.0,73
73,0.0497,0.0000,0.0497,pass,0.977533,74.0,74
74,0.0142,0.0000,0.0142,pass,0.978656,75.0,75
75,0.0690,0.0000,0.0690,pass,0.979723,76.0,76
76,-0.0427,0.0000,0.0427,pass,0.980737,77.0,77
77,0.0159,0.0000,0.0159,pass,0.981700,78.0,78
78,0.0626,0.0000,0.0626,pass,0.982615,79.0,79
79,-0.0309,0.0000,0.0309,pass,0.983485,80.0,80
80,4.4421,0.0000,4.4421,fail,0.000000,0.0,0
81,-0.0662,0.0000,0.0662,pass,0.050000,1.0,1
82,-0.0363,0.0000,0.0363,pass,0.097500,2.0,2
83,-0.0382,0.0000,0.0382,pass,0.142625,3.0,3
84,-0.1196,0.0000,0.1196,pass,0.185494,4.0,4
85,0.0487,0.0000,0.0487,pass,0.226219,5.0,5
86,-0.0469,0.0000,0.0469,pass,0.264908,6.0,6
87,0.0012,0.0000,0.0012,pass,0.301663,7.0,7
88,0.0481,0.0000,0.0481,pass,0.336580,8.0,8
89,0.0447,0.0000,0.0447,pass,0.369751,9.0,9
90,0.0665,0.0000,0.0665,pass,0.401263,10.0,10
91,-0.0098,0.0000,0.0098,pass,0.431200,11.0,11
92,-0.0423,0.0000,0.0423,pass,0.459640,12.0,12
93,-0.0080,0.0000,0.0080,pass,0.486658,13.0,13
94,-0.1687,0.0000,0.1687,pass,0.512325,14.0,14
95,-0.1447,0.0000,0.1447,pass,0.536709,15.0,15
96,-0.1323,0.0000,0.1323,pass,0.559873,16.0,16
97,-0.0997,0.0000,0.0997,pass,0.581880,17.0,17
98,0.0400,0.0000,0.0400,pass,0.602786,18.0,18
99,-0.0905,0.0000,0.0905,pass,0.622646,19.0,19
100,-0.0378,0.0000,0.0378,pass,0.641514,20.0,20
101,0.1299,0.0000,0.1299,pass,0.659438,21.0,21
102,-0.0356,0.0000,0.0356,pass,0.676466,22.0,22
103,0.0738,0.0000,0.0738,pass,0.692643,23.0,23
104,-0.0934,0.0000,0.0934,pass,0.708011,24.0,24
105,-0.0205,0.0000,0.0205,pass,0.722610,25.0,25
106,-0.0950,0.0000,0.0950,pass,0.736480,26.0,26
107,-0.0339,0.0000,0.0339,pass,0.749656,27.0,27
108,0.0840,0.0000,0.0840,pass,0.762173,28.0,28
109,-0.1727,0.0000,0.1727,pass,0.774064,29.0,29
110,0.0434,0.0000,0.0434,pass,0.785361,30.0,30
111,0.0238,0.0000,0.0238,pass,0.796093,31.0,31
112,-0.0594,0.0000,0.0594,pass,0.806289,32.0,32
113,-0.1446,0.0000,0.1446,pass,0.815974,33.0,33
114,0.0072,0.0000,0.0072,pass,0.825175,34.0,34
115,-0.0529,0.0000,0.0529,pass,0.833917,35.0,35
116,0.0233,0.0000,0.0233,pass,0.842221,36.0,36
117,0.0022,0.0000,0.0022,pass,0.850110,37.0,37
118,0.1602,0.0000,0.1602,pass,0.857604,38.0,38
119,-0.0239,0.0000,0.0239,pass,0.864724,39.0,39
120,-0.1023,0.0000,0.1023,pass,0.871488,40.0,40
121,0.0179,0.0000,0.0179,pass,0.877913,41.0,41
122,0.0220,0.0000,0.0220,pass,0.884018,42.0,42
123,0.1359,0.0000,0.1359,pass,0.889817,43.0,43
124,0.0835,0.0000,0.0835,pass,0.895326,44.0,44
125,0.0357,0.0000,0.0357,pass,0.900560,45.0,45
126,0.1463,0.0000,0.1463,pass,0.905532,46.0,46
127,-0.1189,0.0000,0.1189,pass,0.910255,47.0,47
128,-0.0640,0.0000,0.0640,pass,0.914742,48.0,48
129,-0.0927,0.0000,0.0927,pass,0.919005,49.0,49
130,-0.0390,0.0000,0.0390,pass,0.923055,50.0,50
131,-0.1377,0.0000,0.1377,pass,0.926902,51.0,51
132,0.0635,0.0000,0.0635,pass,0.930557,52.0,52
133,-0.0222,0.0000,0.0222,pass,0.934029,53.0,53
134,-0.1471,0.0000,0.1471,pass,0.937328,54.0,54
